CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.16;Pagamento de Juros sobre debêntures;-87893.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.17;Impostos diferidos;-2072.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.17;Impostos diferidos;954.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.18;Provisão para contingência;0.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.18;Provisão para contingência;1020.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.01.19;Ativos destinados a aplicação na concessão;0.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.01.19;Ativos destinados a aplicação na concessão;-14247.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.02;Caixa Líquido Atividades de Investimento;-48259.0000000000;S
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.02;Caixa Líquido Atividades de Investimento;-119780.0000000000;S
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;6.02.01;Aquisição de ativo imobilizado e intangível;-48259.0000000000;N
45.456.117/0001-12;2024-12-31;1;ÁGUAS DO SERTÃO S.A.;027359;DF Individual - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;6.02.01;Aquisição de ativo imobilizado e intangível;-99867.0000000000;N
