CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.04;Remensuração de obrigações de benefícios pós-emprego;130322.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.04;Remensuração de obrigações de benefícios pós-emprego;2064281.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.05;IR/CSLL diferidos;-37223.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.05;IR/CSLL diferidos;-274841.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.06;Ajustes acumulados de conversão;10031.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.06;Ajustes acumulados de conversão;36139.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.07;Ajuste de hedge de fluxo de caixa;0.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.07;Ajuste de hedge de fluxo de caixa;73462.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.08;Participação no resultado abrangente das coligadas e controladas em conjunto;-226450.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.08;Participação no resultado abrangente das coligadas e controladas em conjunto;18356.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.02.09;Participação no resultado abrangente das controladas e coligadas;0.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.02.09;Participação no resultado abrangente das controladas e coligadas;0.0000000000;N
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.03;Resultado Abrangente Consolidado do Período;4554172.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.03;Resultado Abrangente Consolidado do Período;12310405.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.03.01;Atribuído a Sócios da Empresa Controladora;4660654.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.03.01;Atribuído a Sócios da Empresa Controladora;12307773.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.03.02;Atribuído a Sócios Não Controladores;-106482.0000000000;S
00.001.180/0001-26;2024-12-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.03.02;Atribuído a Sócios Não Controladores;2632.0000000000;S
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2023-01-01;2023-12-31;4.01;Lucro Líquido Consolidado do Período;235023.0000000000;S
00.070.698/0001-11;2024-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DF Consolidado - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2024-01-01;2024-12-31;4.01;Lucro Líquido Consolidado do Período;225527.0000000000;S
